paper_id,title,year,citation_key,arxiv_id,doi,url,record_origin,substrate,adaptation,outcome,outcome_detail,substrate_score,substrate_margin,adaptation_score,adaptation_margin,outcome_score,outcome_margin,outcome_detail_score,outcome_detail_margin,confidence,source_status
put-your-money-where-your-mouth-is-evaluating-strategic-planning-and-execution-o,Put Your Money Where Your Mouth Is: Evaluating Strategic Planning and Execution of LLM Agents in an Auction Arena,2023,chen_2023_put_your_money_where_your_mo,,10.48550/arxiv.2310.05746,http://arxiv.org/abs/2310.05746,registry,Workflow,Activate,Response,Monitoring & Containment,6.60,3.50,6.45,1.70,19.55,19.20,12.06,10.06,medium,full_text
progent-programmable-privilege-control-for-llm-agents,Progent: Programmable Privilege Control for LLM Agents,2025,shi2025progent,2504.11703,10.48550/arXiv.2504.11703,https://arxiv.org/abs/2504.11703,registry,Tools & Skills,Activate,Response,Transition & Activation,8.50,6.00,5.00,2.70,11.50,10.00,12.10,9.80,medium,full_text
privacy-and-security-challenges-in-large-language-models,Privacy and Security Challenges in Large Language Models,2025,rathod_2025_privacy_and_security_challen,,10.1109/ccwc62904.2025.10903912,https://doi.org/10.1109/ccwc62904.2025.10903912,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,7.00,8.00,6.00,14.50,14.50,6.00,0.00,low,abstract_or_short
practical-integration-of-large-language-models-into-enterprise-ci-cd-pipelines-f,Practical Integration of Large Language Models into Enterprise CI/CD Pipelines for Security Policy Validation: An Industry-Focused Evaluation,2025,mittal_2025_practical_integration_of_lar,,10.1109/sose67019.2025.00027,https://doi.org/10.1109/sose67019.2025.00027,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,7.00,8.00,6.00,10.50,5.00,6.00,4.00,medium,abstract_or_short
medagentbench-a-virtual-ehr-environment-to-benchmark-medical-llm-agents,MedAgentBench: A Virtual EHR Environment to Benchmark Medical LLM Agents,2025,jiang_2025_medagentbench_a_virtual_ehr,,10.1056/aidbp2500144,https://doi.org/10.1056/aidbp2500144,registry,Memory,Add,Response,Monitoring & Containment,9.50,9.50,5.00,5.00,5.50,4.50,6.00,6.00,medium,source_limited
maatphor-automated-variant-analysis-for-prompt-injection-attacks,Maatphor: Automated Variant Analysis for Prompt Injection Attacks,2023,salem_2023_maatphor_automated_variant_a,,10.48550/arxiv.2312.11513,http://arxiv.org/abs/2312.11513,registry,Tools & Skills,Activate,Violation,Authority Escalation,10.10,10.10,14.52,7.07,19.90,14.35,10.46,6.06,high,full_text
mirai-evaluating-llm-agents-for-event-forecasting,MIRAI: Evaluating LLM Agents for Event Forecasting,2024,ye_2024_mirai_evaluating_llm_agents,,10.48550/arxiv.2407.01231,http://arxiv.org/abs/2407.01231,registry,Tools & Skills,Modify,Response,Monitoring & Containment,3.19,1.19,4.30,3.85,18.05,18.05,11.76,9.36,low,full_text
legalagentbench-evaluating-llm-agents-in-legal-domain,LegalAgentBench: Evaluating LLM Agents in Legal Domain,2024,li_2024_legalagentbench_evaluating_l,,10.48550/arxiv.2412.17259,http://arxiv.org/abs/2412.17259,registry,Tools & Skills,Modify,Response,Monitoring & Containment,3.10,0.23,4.00,4.00,18.05,18.05,11.76,9.76,low,full_text
large-language-models-as-urban-residents-an-llm-agent-framework-for-personal-mob,Large Language Models as Urban Residents: An LLM Agent Framework for Personal Mobility Generation,2024,wang_2024_large_language_models_as_urb,,10.48550/arxiv.2402.14744,http://arxiv.org/abs/2402.14744,registry,Memory,Add,Response,Monitoring & Containment,10.94,7.84,5.00,2.70,6.20,3.70,2.40,2.40,low,full_text
large-language-models-and-security,Large Language Models and Security,2024,bezzi_2024_large_language_models_and_se,,10.1109/msec.2023.3345568,https://doi.org/10.1109/msec.2023.3345568,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,7.00,8.00,6.00,10.50,10.50,6.00,4.00,medium,abstract_or_short
large-language-models-play-starcraft-ii-benchmarks-and-a-chain-of-summarization,Large Language Models Play StarCraft II: Benchmarks and A Chain of Summarization Approach,2023,ma_2023_large_language_models_play_s,,10.48550/arxiv.2312.11865,http://arxiv.org/abs/2312.11865,registry,Workflow,Abstract,Response,Monitoring & Containment,2.60,1.91,8.45,3.40,17.70,17.70,11.76,9.76,low,full_text
large-language-model-safety-a-holistic-survey,Large Language Model Safety: A Holistic Survey,2024,shi_2024_large_language_model_safety,,10.48550/arxiv.2412.17686,http://arxiv.org/abs/2412.17686,registry,Workflow,Modify,Response,Preventive Governance,2.00,1.40,6.45,6.00,20.95,18.40,7.46,4.76,low,full_text
large-language-model-agents-for-biomedicine-a-comprehensive-review-of-methods-ev,"Large Language Model Agents for Biomedicine: A Comprehensive Review of Methods, Evaluations, Challenges, and Future Directions",2025,xu_2025_large_language_model_agents,,10.22541/au.175795684.47167615/v1,https://doi.org/10.22541/au.175795684.47167615/v1,registry,Model,Modify,Response,Monitoring & Containment,7.00,7.00,11.00,11.00,5.50,4.50,6.00,2.00,medium,source_limited
llm-agents-for-interactive-workflow-provenance-reference-architecture-and-evalua,LLM Agents for Interactive Workflow Provenance: Reference Architecture and Evaluation Methodology,2025,souza_2025_llm_agents_for_interactive_w,,10.1145/3731599.3767582,https://doi.org/10.1145/3731599.3767582,registry,Workflow,Migrate,Response,Monitoring & Containment,6.00,6.00,10.00,8.00,17.00,17.00,11.30,9.30,medium,source_limited
llm-agents-can-be-choice-supportive-biased-evaluators-an-empirical-study,LLM Agents Can Be Choice-Supportive Biased Evaluators: An Empirical Study,2025,zhuang_2025_llm_agents_can_be_choice_sup,,10.1609/aaai.v39i25.34843,https://doi.org/10.1609/aaai.v39i25.34843,registry,Workflow,Modify,Response,Monitoring & Containment,2.00,2.00,2.00,2.00,17.00,17.00,11.30,9.30,low,abstract_or_short
koma-knowledge-driven-multi-agent-framework-for-autonomous-driving-with-large-la,KoMA: Knowledge-Driven Multi-Agent Framework for Autonomous Driving With Large Language Models,2024,jiang_2024_koma_knowledge_driven_multi,,10.1109/tiv.2024.3488793,https://doi.org/10.1109/tiv.2024.3488793,registry,Workflow,Propagate,Violation,Privacy & Purpose,8.00,5.50,10.00,6.00,8.50,4.50,2.00,0.00,low,abstract_or_short
generative-ai-and-llms-for-critical-infrastructure-protection-evaluation-benchma,"Generative AI and LLMs for Critical Infrastructure Protection: Evaluation Benchmarks, Agentic AI, Challenges, and Opportunities",2025,yigit_2025_generative_ai_and_llms_for_c,,10.3390/s25061666,https://doi.org/10.3390/s25061666,registry,Workflow,Modify,Response,Monitoring & Containment,2.00,2.00,4.00,4.00,28.00,28.00,7.20,0.20,low,abstract_or_short
generative-ai-agents-with-large-language-model-for-satellite-networks-via-a-mixt,Generative AI Agents With Large Language Model for Satellite Networks via a Mixture of Experts Transmission,2024,zhang_2024_generative_ai_agents_with_la,,10.1109/jsac.2024.3459037,https://doi.org/10.1109/jsac.2024.3459037,registry,Workflow,Modify,Violation,Privacy & Purpose,4.00,1.50,10.60,10.60,2.50,2.50,2.00,0.00,low,abstract_or_short
gamebench-evaluating-strategic-reasoning-abilities-of-llm-agents,GameBench: Evaluating Strategic Reasoning Abilities of LLM Agents,2024,costarelli_2024_gamebench_evaluating_strateg,,10.48550/arxiv.2406.06613,http://arxiv.org/abs/2406.06613,registry,Tools & Skills,Modify,Response,Monitoring & Containment,3.10,0.50,2.45,2.45,18.05,18.05,11.76,9.76,low,full_text
exploring-the-potential-of-large-language-models-in-self-adaptive-systems,Exploring the Potential of Large Language Models in Self-adaptive Systems,2024,li_2024_exploring_the_potential_of_l,,10.1145/3643915.3644088,https://doi.org/10.1145/3643915.3644088,registry,Workflow,Modify,Violation,Operational Integrity,4.00,4.00,8.00,6.00,7.00,7.00,2.00,2.00,low,source_limited
evaluation-driven-development-and-operations-of-llm-agents-a-process-model-and-r,Evaluation-Driven Development and Operations of LLM Agents: A Process Model and Reference Architecture,2024,xia_2024_evaluation_driven_developmen,,10.48550/arXiv.2411.13768,https://arxiv.org/abs/2411.13768,registry,Memory,Modify,Response,Monitoring & Containment,3.25,0.75,5.12,4.60,24.05,22.55,12.12,9.72,low,full_text
evaluating-large-language-models-as-agents-in-the-clinic,Evaluating large language models as agents in the clinic,2024,mehandru_2024_evaluating_large_language_mo,,10.1038/s41746-024-01083-y,https://doi.org/10.1038/s41746-024-01083-y,registry,Workflow,Modify,Response,Monitoring & Containment,4.00,1.50,10.60,10.60,10.00,7.50,6.60,6.60,medium,full_text
evaluating-large-language-models-and-agents-in-healthcare-key-challenges-in-clin,Evaluating large language models and agents in healthcare: key challenges in clinical applications,2025,chen_2025_evaluating_large_language_mo,,10.1016/j.imed.2025.03.002,https://doi.org/10.1016/j.imed.2025.03.002,registry,Workflow,Modify,Response,Monitoring & Containment,4.00,4.00,10.30,10.30,4.00,3.00,4.00,4.00,medium,source_limited
demystifying-llm-based-software-engineering-agents,Demystifying LLM-Based Software Engineering Agents,2025,xia_2025_demystifying_llm_based_softw,,10.1145/3715754,https://doi.org/10.1145/3715754,registry,Workflow,Modify,Response,Monitoring & Containment,2.00,2.00,2.00,2.00,13.00,13.00,7.30,5.30,low,source_limited
defending-against-indirect-prompt-injection-attacks-with-spotlighting,Defending Against Indirect Prompt Injection Attacks With Spotlighting,2024,hines_2024_defending_against_indirect_p,,10.48550/arxiv.2403.14720,http://arxiv.org/abs/2403.14720,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,9.50,14.45,7.00,18.05,15.50,10.40,5.82,high,full_text
datagovbench-benchmarking-llm-agents-for-real-world-data-governance-workflows,DataGovBench: Benchmarking LLM Agents for Real-World Data Governance Workflows,2025,zhou_2025_datagovbench_benchmarking_ll,2512.04416,10.48550/arxiv.2512.04416,https://arxiv.org/abs/2512.04416,registry,Workflow,Migrate,Response,Preventive Governance,6.69,3.03,10.52,4.07,25.75,25.75,11.40,4.28,medium,full_text
cyberseceval-2-a-wide-ranging-cybersecurity-evaluation-suite-for-large-language,CyberSecEval 2: A Wide-Ranging Cybersecurity Evaluation Suite for Large Language Models,2024,bhatt_2024_cyberseceval_2_a_wide_rangin,,10.48550/arxiv.2404.13161,http://arxiv.org/abs/2404.13161,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,6.62,8.45,6.45,11.10,0.05,6.40,5.94,low,full_text
chatlaw-a-multi-agent-collaborative-legal-assistant-with-knowledge-graph-enhance,Chatlaw: A Multi-Agent Collaborative Legal Assistant with Knowledge Graph Enhanced Mixture-of-Experts Large Language Model,2023,cui_2023_chatlaw_a_multi_agent_collab,,10.48550/arxiv.2306.16092,http://arxiv.org/abs/2306.16092,registry,Workflow,Modify,Response,Monitoring & Containment,8.69,5.81,10.82,0.37,3.35,2.00,2.30,1.90,low,full_text
catastrophic-cyber-capabilities-benchmark-3cb-robustly-evaluating-llm-agent-cybe,Catastrophic Cyber Capabilities Benchmark (3CB): Robustly Evaluating LLM Agent Cyber Offense Capabilities,2024,anurin_2024_catastrophic_cyber_capabilit,,10.48550/arxiv.2410.09114,http://arxiv.org/abs/2410.09114,registry,Tools & Skills,Modify,Response,Monitoring & Containment,3.19,0.69,2.00,1.55,29.75,29.05,12.36,10.36,low,full_text
can-machines-think-like-humans-a-behavioral-evaluation-of-llm-agents-in-dictator,Can Machines Think Like Humans? A Behavioral Evaluation of LLM-Agents in Dictator Games,2024,ma_2024_can_machines_think_like_huma,,10.31235/osf.io/s37ax,https://doi.org/10.31235/osf.io/s37ax,registry,Workflow,Modify,Response,Monitoring & Containment,2.00,2.00,2.00,2.00,17.00,17.00,11.30,9.30,low,source_limited
building-cooperative-embodied-agents-modularly-with-large-language-models,Building Cooperative Embodied Agents Modularly with Large Language Models,2023,zhang_2023_building_cooperative_embodie,,10.48550/arxiv.2307.02485,http://arxiv.org/abs/2307.02485,registry,Memory,Propagate,Violation,Provenance Loss,10.10,7.60,10.65,5.65,2.50,1.80,2.00,0.00,low,full_text
agents-of-change-self-evolving-llm-agents-for-strategic-planning,Agents of Change: Self-Evolving LLM Agents for Strategic Planning,2025,nikolas_2025_agents_of_change_self_evolvi,,10.48550/arxiv.2506.04651,http://arxiv.org/abs/2506.04651,registry,Model,Modify,Response,Recovery & Contestability,7.60,2.40,16.18,14.18,2.20,1.20,4.00,1.60,low,full_text
agentbench-evaluating-llms-as-agents,AgentBench: Evaluating LLMs as Agents,2023,liu_2023_agentbench_evaluating_llms_a,,10.48550/arxiv.2308.03688,http://arxiv.org/abs/2308.03688,registry,Memory,Modify,Response,Monitoring & Containment,3.10,0.00,4.82,4.82,18.05,17.70,11.76,9.76,low,full_text
transforming-data-annotation-with-ai-agents-a-review-of-architectures-reasoning,"Transforming Data Annotation with AI Agents: A Review of Architectures, Reasoning, Applications, and Impact",2025,karim_2025_transforming_data_annotation,,10.3390/fi17080353,https://doi.org/10.3390/fi17080353,registry,Workflow,Modify,Violation,Operational Integrity,2.00,2.00,1.00,1.00,7.00,4.00,2.00,1.00,low,abstract_or_short
towards-automated-environmental-monitoring-autonomous-llm-agents-over-open-data,Towards Automated Environmental Monitoring: Autonomous LLM Agents over Open Data in the Forest Sector,2026,khan_2026_towards_automated_environmen,,10.3997/2214-4609.202655145,https://doi.org/10.3997/2214-4609.202655145,registry,Workflow,Modify,Response,Preventive Governance,2.00,2.00,4.00,4.00,17.00,17.00,7.00,1.00,low,source_limited
systematically-analysing-prompt-injection-vulnerabilities-in-diverse-llm-archite,Systematically Analysing Prompt Injection Vulnerabilities in Diverse LLM Architectures,2025,heverin_2025_systematically_analysing_pro,2410.23308,10.34190/iccws.20.1.3292,https://doi.org/10.34190/iccws.20.1.3292,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,7.00,14.00,7.00,17.00,15.50,10.00,6.00,high,full_text
stance-detection-with-collaborative-role-infused-llm-based-agents,Stance Detection with Collaborative Role-Infused LLM-Based Agents,2024,lan_2024_stance_detection_with_collab,,10.1609/icwsm.v18i1.31360,https://doi.org/10.1609/icwsm.v18i1.31360,registry,Workflow,Modify,Violation,Operational Integrity,2.00,2.00,1.00,1.00,7.00,0.00,2.00,1.00,low,abstract_or_short
risks-of-ai-scientists-prioritizing-safeguarding-over-autonomy,Risks of AI Scientists: Prioritizing Safeguarding Over Autonomy,2024,tang_2024_risks_of_ai_scientists_prior,,10.48550/arxiv.2402.04247,http://arxiv.org/abs/2402.04247,registry,Tools & Skills,Modify,Response,Monitoring & Containment,2.50,0.50,0.45,0.45,13.95,1.90,2.70,0.70,low,full_text
recommender-ai-agent-integrating-large-language-models-for-interactive-recommend,Recommender AI Agent: Integrating Large Language Models for Interactive Recommendations,2025,huang_2025_recommender_ai_agent_integra,,10.1145/3731446,https://doi.org/10.1145/3731446,registry,Workflow,Modify,Violation,Operational Integrity,4.00,4.00,10.30,10.30,1.00,1.00,2.00,2.00,low,source_limited
recmind-large-language-model-powered-agent-for-recommendation,RecMind: Large Language Model Powered Agent For Recommendation,2024,wang_2024_recmind_large_language_model,,10.18653/v1/2024.findings-naacl.271,https://doi.org/10.18653/v1/2024.findings-naacl.271,registry,Workflow,Modify,Response,Transition & Activation,4.00,1.50,10.60,10.60,1.50,0.50,2.00,2.00,low,full_text
prompt-injection-detection-in-llm-integrated-applications,Prompt Injection Detection in LLM Integrated Applications,2025,lan_2025_prompt_injection_detection_i,,10.53941/ijndi.2025.100013,https://doi.org/10.53941/ijndi.2025.100013,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,7.00,14.45,7.00,16.60,8.20,10.40,6.00,high,full_text
os-agents-a-survey-on-mllm-based-agents-for-computer-phone-and-browser-use,"OS Agents: A Survey on MLLM-based Agents for Computer, Phone and Browser Use",2025,hu_2025_os_agents_a_survey_on_mllm_b,,10.18653/v1/2025.acl-long.369,https://doi.org/10.18653/v1/2025.acl-long.369,registry,Workflow,Modify,Response,Monitoring & Containment,2.00,2.00,1.00,1.00,7.50,0.50,2.30,0.30,low,full_text
not-what-you-ve-signed-up-for-compromising-real-world-llm-integrated-application,Not what you've signed up for: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,2023,greshake_2023_not_what_you_ve_signed_up_fo,,10.48550/arxiv.2302.12173,http://arxiv.org/abs/2302.12173,registry,Tools & Skills,Activate,Violation,Authority Escalation,10.10,10.10,14.65,7.20,20.60,17.35,10.40,6.00,high,full_text
multi-agent-collaboration-harnessing-the-power-of-intelligent-llm-agents,Multi-Agent Collaboration: Harnessing the Power of Intelligent LLM Agents,2023,talebirad_2023_multi_agent_collaboration_ha,,10.48550/arxiv.2306.03314,http://arxiv.org/abs/2306.03314,registry,Memory,Propagate,Violation,Provenance Loss,10.47,5.88,10.45,5.45,2.85,0.65,2.00,0.00,low,full_text
lora-fine-tuning-efficiently-undoes-safety-training-in-llama-2-chat-70b,LoRA Fine-tuning Efficiently Undoes Safety Training in Llama 2-Chat 70B,2023,lermen_2023_lora_fine_tuning_efficiently,,10.48550/arxiv.2310.20624,http://arxiv.org/abs/2310.20624,registry,Model,Modify,Response,Preventive Governance,4.60,2.10,7.20,7.20,8.50,1.50,2.00,0.00,low,full_text
llm-guided-risk-sensitive-reinforcement-learning-for-smart-factories-in-the-scen,Llm-Guided Risk-Sensitive Reinforcement Learning for Smart Factories in the Scenario of Human-Robot Symbiosis,2025,wang_2025_llm_guided_risk_sensitive_re,,10.2139/ssrn.5294964,https://doi.org/10.2139/ssrn.5294964,registry,Workflow,Modify,Violation,Privacy & Purpose,2.00,2.00,4.00,4.00,11.00,8.00,4.00,2.00,low,registry_only
large-language-models-empowered-agent-based-modeling-and-simulation-a-survey-and,Large language models empowered agent-based modeling and simulation: a survey and perspectives,2024,gao_2024_large_language_models_empowe,,10.1057/s41599-024-03611-3,https://doi.org/10.1057/s41599-024-03611-3,registry,Workflow,Modify,Response,Monitoring & Containment,4.00,0.90,11.12,10.67,2.20,1.20,2.40,2.40,low,full_text
large-language-model-enhanced-multi-agent-systems-for-6g-communications,Large Language Model Enhanced Multi-Agent Systems for 6G Communications,2024,jiang_2024_large_language_model_enhance,,10.1109/mwc.016.2300600,https://doi.org/10.1109/mwc.016.2300600,registry,Workflow,Modify,Violation,Privacy & Purpose,8.00,5.50,10.60,0.00,2.50,2.50,2.00,0.00,low,abstract_or_short
llm-agents-can-autonomously-exploit-one-day-vulnerabilities,LLM Agents can Autonomously Exploit One-day Vulnerabilities,2024,fang_2024_llm_agents_can_autonomously,,10.48550/arxiv.2404.08144,http://arxiv.org/abs/2404.08144,registry,Memory,Add,Violation,Provenance Loss,9.88,7.38,5.00,4.55,10.05,5.55,2.40,2.40,low,full_text
llm-agents-grounded-in-self-reports-enable-general-purpose-simulation-of-individ,LLM Agents Grounded in Self-Reports Enable General-Purpose Simulation of Individuals,2024,park_2024_llm_agents_grounded_in_self,,10.48550/arxiv.2411.10109,http://arxiv.org/abs/2411.10109,registry,Memory,Add,Violation,Privacy & Purpose,9.50,7.00,5.00,2.48,2.50,2.50,6.46,4.06,low,full_text
hacksynth-llm-agent-and-evaluation-framework-for-autonomous-penetration-testing,HackSynth: LLM Agent and Evaluation Framework for Autonomous Penetration Testing,2024,muzsai_2024_hacksynth_llm_agent_and_eval,,10.48550/arxiv.2412.01778,http://arxiv.org/abs/2412.01778,registry,Memory,Modify,Response,Monitoring & Containment,2.88,0.38,4.60,4.15,24.60,24.60,11.76,9.76,low,full_text
generative-ai-in-medicine-and-healthcare-moving-beyond-the-peak-of-inflated-expe,Generative AI in Medicine and Healthcare: Moving Beyond the ‘Peak of Inflated Expectations’,2024,zhang_2024_generative_ai_in_medicine_an,,10.3390/fi16120462,https://doi.org/10.3390/fi16120462,registry,Workflow,Modify,Violation,Operational Integrity,2.00,2.00,1.00,1.00,7.00,4.00,2.00,1.00,low,abstract_or_short
finmem-a-performance-enhanced-llm-trading-agent-with-layered-memory-and-characte,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,2024,yu_2024_finmem_a_performance_enhance,,10.1609/aaaiss.v3i1.31290,https://doi.org/10.1609/aaaiss.v3i1.31290,registry,Memory,Activate,Violation,Provenance Loss,6.50,2.50,2.00,0.00,7.00,7.00,2.00,2.00,low,abstract_or_short
enhancing-ai-systems-with-agentic-workflows-patterns-in-large-language-model,Enhancing AI Systems with Agentic Workflows Patterns in Large Language Model,2024,singh_2024_enhancing_ai_systems_with_ag,,10.1109/aiiot61789.2024.10578990,https://doi.org/10.1109/aiiot61789.2024.10578990,registry,Workflow,Modify,Violation,Privacy & Purpose,8.00,5.50,10.60,0.60,2.50,2.50,2.00,0.00,low,abstract_or_short
empowering-llms-by-hybrid-retrieval-augmented-generation-for-domain-centric-q-am,Empowering LLMs by hybrid retrieval-augmented generation for domain-centric Q&amp;A in smart manufacturing,2025,wan_2025_empowering_llms_by_hybrid_re,,10.1016/j.aei.2025.103212,https://doi.org/10.1016/j.aei.2025.103212,registry,Memory,Activate,Violation,Provenance Loss,7.10,5.10,6.00,6.00,7.00,4.00,3.00,3.00,low,source_limited
editable-scene-simulation-for-autonomous-driving-via-collaborative-llm-agents,Editable Scene Simulation for Autonomous Driving via Collaborative LLM-Agents,2024,wei_2024_editable_scene_simulation_fo,,10.1109/cvpr52733.2024.01428,https://doi.org/10.1109/cvpr52733.2024.01428,registry,Memory,Modify,Violation,Provenance Loss,9.88,9.88,6.00,1.00,2.50,2.50,2.00,0.00,low,abstract_or_short
echoleak-the-first-real-world-zero-click-prompt-injectionexploit-in-a-production,EchoLeak: The First Real-World Zero-Click Prompt InjectionExploit in a Production LLM System,2025,reddy_2025_echoleak_the_first_real_worl,,10.1609/aaaiss.v7i1.36899,https://doi.org/10.1609/aaaiss.v7i1.36899,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,9.50,14.00,7.00,21.00,21.00,10.00,6.00,high,abstract_or_short
dynamic-moving-target-defense-for-mitigating-targeted-llm-prompt-injection,Dynamic Moving Target Defense for Mitigating Targeted LLM Prompt Injection,2024,panterino_2024_dynamic_moving_target_defens,,10.36227/techrxiv.171822345.56781952/v1,http://dx.doi.org/10.36227/techrxiv.171822345.56781952/v1,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,9.50,14.00,7.00,13.00,3.50,10.00,6.00,high,source_limited
determinants-of-llm-assisted-decision-making,Determinants of LLM-assisted Decision-Making,2024,eigner_2024_determinants_of_llm_assisted,,10.48550/arxiv.2402.17385,http://arxiv.org/abs/2402.17385,registry,Memory,Add,Violation,Provenance Loss,2.50,0.00,1.00,1.00,7.35,1.00,3.00,2.60,low,full_text
automatic-building-energy-model-development-and-debugging-using-large-language-m,Automatic building energy model development and debugging using large language models agentic workflow,2024,zhang_2024_automatic_building_energy_mo,,10.1016/j.enbuild.2024.115116,https://doi.org/10.1016/j.enbuild.2024.115116,registry,Workflow,Modify,Violation,Operational Integrity,8.00,8.00,10.30,0.30,1.00,1.00,2.00,2.00,low,source_limited
autowebglm-a-large-language-model-based-web-navigating-agent,AutoWebGLM: A Large Language Model-based Web Navigating Agent,2024,lai_2024_autowebglm_a_large_language,,10.1145/3637528.3671620,https://doi.org/10.1145/3637528.3671620,registry,Workflow,Modify,Violation,Operational Integrity,4.00,4.00,10.30,10.30,1.00,1.00,2.00,2.00,low,source_limited
agentic-large-language-models-a-survey,"Agentic Large Language Models, a Survey",2025,plaat_2025_agentic_large_language_model,,10.1613/jair.1.18675,https://doi.org/10.1613/jair.1.18675,registry,Workflow,Modify,Violation,Operational Integrity,4.00,1.50,10.60,8.60,1.00,1.00,2.00,2.00,low,full_text
agentic-ai-systems-applied-to-tasks-in-financial-services-modeling-and-model-ris,Agentic AI Systems Applied to tasks in Financial Services: Modeling and model risk management crews,2025,okpala_2025_agentic_ai_systems_applied_t,,10.48550/arxiv.2502.05439,http://arxiv.org/abs/2502.05439,registry,Memory,Modify,Violation,Provenance Loss,3.25,0.75,2.30,0.30,11.00,6.50,3.00,3.00,low,full_text
agent-identity-evals-measuring-agentic-identity,Agent Identity Evals: Measuring Agentic Identity,2025,perrier_2025_agent_identity_evals_measuri,,10.48550/arxiv.2507.17257,http://arxiv.org/abs/2507.17257,registry,Memory,Modify,Violation,Provenance Loss,3.48,0.38,2.75,2.75,7.00,0.30,3.00,2.60,low,full_text
aiot-smart-home-via-autonomous-llm-agents,AIoT Smart Home via Autonomous LLM Agents,2024,rivkin_2024_aiot_smart_home_via_autonomo,,10.1109/jiot.2024.3471904,https://doi.org/10.1109/jiot.2024.3471904,registry,Memory,Add,Violation,Provenance Loss,9.88,9.88,5.00,3.00,2.50,2.50,2.00,0.00,low,abstract_or_short
ai-liedar-examine-the-trade-off-between-utility-and-truthfulness-in-llm-agents,AI-LieDar : Examine the Trade-off Between Utility and Truthfulness in LLM Agents,2025,zhe_2025_ai_liedar_examine_the_trade,,10.18653/v1/2025.naacl-long.595,https://doi.org/10.18653/v1/2025.naacl-long.595,registry,Workflow,Modify,Violation,Operational Integrity,2.00,2.00,1.00,1.00,7.00,2.50,2.00,1.00,low,full_text
ai-deception-a-survey-of-examples-risks-and-potential-solutions,"AI deception: A survey of examples, risks, and potential solutions",2024,park_2024_ai_deception_a_survey_of_exa,,10.1016/j.patter.2024.100988,https://doi.org/10.1016/j.patter.2024.100988,registry,Workflow,Modify,Violation,Operational Integrity,2.00,2.00,1.00,1.00,11.00,8.00,2.00,1.00,low,source_limited
ai-agents-vs-agentic-ai-a-conceptual-taxonomy-applications-and-challenges,"AI Agents vs. Agentic AI: A Conceptual Taxonomy, Applications and Challenges",2025,sapkota_2025_ai_agents_vs_agentic_ai_a_co,,10.70777/si.v2i3.15161,https://doi.org/10.70777/si.v2i3.15161,registry,Memory,Modify,Violation,Provenance Loss,4.12,1.02,2.00,1.48,7.35,0.65,3.00,1.00,low,full_text
a-survey-on-evaluation-of-large-language-models,A Survey on Evaluation of Large Language Models,2024,chang_2024_a_survey_on_evaluation_of_la,,10.1145/3641289,https://doi.org/10.1145/3641289,registry,Workflow,Modify,Response,Monitoring & Containment,4.00,4.00,10.30,10.30,5.50,4.50,6.00,6.00,medium,source_limited
usimagent-large-language-models-for-simulating-search-users,USimAgent: Large Language Models for Simulating Search Users,2024,zhang_2024_usimagent_large_language_mod,,10.1145/3626772.3657963,https://doi.org/10.1145/3626772.3657963,registry,Workflow,Activate,Violation,Operational Integrity,4.00,4.00,2.00,0.00,7.00,7.00,2.00,2.00,low,source_limited
towards-large-language-model-based-personal-agents-in-the-enterprise-current-tre,Towards large language model-based personal agents in the enterprise: Current trends and open problems,2023,muthusamy_2023_towards_large_language_model,,10.18653/v1/2023.findings-emnlp.461,https://doi.org/10.18653/v1/2023.findings-emnlp.461,registry,Workflow,Activate,Violation,Privacy & Purpose,4.00,1.50,2.00,0.00,7.00,2.50,4.00,2.00,low,full_text
saynav-grounding-large-language-models-for-dynamic-planning-to-navigation-in-new,SayNav: Grounding Large Language Models for Dynamic Planning to Navigation in New Environments,2024,rajvanshi_2024_saynav_grounding_large_langu,,10.1609/icaps.v34i1.31506,https://doi.org/10.1609/icaps.v34i1.31506,registry,Workflow,Activate,Violation,Operational Integrity,8.00,8.00,2.00,0.00,7.00,7.00,2.00,2.00,low,abstract_or_short
rtlfixer-automatically-fixing-rtl-syntax-errors-with-large-language-model,RTLFixer: Automatically Fixing RTL Syntax Errors with Large Language Model,2024,tsai_2024_rtlfixer_automatically_fixin,2311.16543,10.1145/3649329.3657353,https://doi.org/10.1145/3649329.3657353,registry,Workflow,Activate,Violation,Operational Integrity,4.00,4.00,2.00,0.00,7.00,7.00,2.00,2.00,low,source_limited
